Class,Scientific_name,Common_name
birds,Todiramphus pyrrhopygius,red-backed kingfisher
birds,Todiramphus sanctus,sacred kingfisher
birds,Todiramphus sordidus,Torresian kingfisher
birds,Merops ornatus,rainbow bee-eater
birds,Eurystomus orientalis,dollarbird
birds,Pitta erythrogaster,red-bellied pitta
birds,Pitta versicolor,noisy pitta
birds,Menura alberti,Albert's lyrebird
birds,Menura novaehollandiae,superb lyrebird
birds,Atrichornis rufescens,rufous scrub-bird
birds,Climacteris affinis,white-browed treecreeper
birds,Climacteris erythrops,red-browed treecreeper
birds,Climacteris melanurus,black-tailed treecreeper
birds,Climacteris picumnus melanotus,brown treecreeper (Cape York Peninsula)
birds,Climacteris picumnus picumnus,"brown treecreeper (inland eastern Australia, Eastern Queensland)"
birds,Climacteris picumnus victoriae,brown treecreeper (south-eastern)
birds,Cormobates leucophaea intermedia,white-throated treecreeper (intermediate)
birds,Cormobates leucophaea metastasis,white-throated treecreeper (southern)
birds,Cormobates leucophaea minor,white-throated treecreeper (northern)
birds,Ailuroedus crassirostris,green catbird
birds,Ailuroedus maculosus,spotted catbird
birds,Ailuroedus melanotis,black-eared catbird
birds,Amblyornis newtonianus,golden bowerbird
birds,Ptilonorhynchus cerviniventris,fawn-breasted bowerbird
birds,Ptilonorhynchus maculatus,spotted bowerbird
birds,Ptilonorhynchus nuchalis,great bowerbird
birds,Ptilonorhynchus violaceus,satin bowerbird
birds,Scenopoeetes dentirostris,tooth-billed bowerbird
birds,Sericulus chrysocephalus,regent bowerbird
birds,Amytornis ballarae,Kalkadoon grasswren
birds,Amytornis barbatus barbatus,grey grasswren (Bulloo)
birds,Amytornis barbatus diamantina,grey grasswren (Lake Eyre basin)
birds,Amytornis dorotheae,Carpentarian grasswren
birds,Amytornis goyderi,Eyrean grasswren
birds,Amytornis rowleyi,rusty grasswren
birds,Malurus amabilis,lovely fairy-wren
birds,Malurus coronatus,purple-crowned fairy-wren
birds,Malurus cyaneus,superb fairy-wren
birds,Malurus lamberti,variegated fairy-wren
birds,Malurus leucopterus,white-winged fairy-wren
birds,Malurus melanocephalus,red-backed fairy-wren
birds,Malurus splendens,splendid fairy-wren
birds,Stipiturus malachurus,southern emu-wren
birds,Stipiturus ruficeps,rufous-crowned emu-wren
birds,Dasyornis brachypterus,eastern bristlebird
birds,Acanthiza apicalis,inland thornbill
birds,Acanthiza chrysorrhoa,yellow-rumped thornbill
birds,Acanthiza katherina,mountain thornbill
birds,Acanthiza lineata,striated thornbill
birds,Acanthiza nana,yellow thornbill
birds,Acanthiza pusilla,brown thornbill
birds,Acanthiza reguloides,buff-rumped thornbill
birds,Acanthiza robustirostris,slaty-backed thornbill
birds,Acanthiza uropygialis,chestnut-rumped thornbill
birds,Aphelocephala leucopsis,southern whiteface
birds,Aphelocephala nigricincta,banded whiteface
birds,Calamanthus campestris,rufous fieldwren
birds,Chthonicola sagittata,speckled warbler
birds,Gerygone fusca,western gerygone
birds,Gerygone levigaster,mangrove gerygone
birds,Gerygone magnirostris,large-billed gerygone
birds,Gerygone mouki,brown gerygone
birds,Gerygone olivacea,white-throated gerygone
